Pollutant,Sector,Source,Fuel_Name,Year,Emission_Factor,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,SSF,1970,0.0275393743333031,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,Town gas,1970,0.0168394846422636,Emissions
Carbon Dioxide as Carbon,Energy,Domestic combustion,Peat,1970,0.02890909091,Emissions
Carbon Dioxide as Carbon,Energy,Fishing vessels,Fuel oil,1970,0.0209138593380615,Emissions
Carbon Dioxide as Carbon,Energy,Fishing vessels,Gas oil,1970,0.0204883306776643,Emissions
Methane,Energy,Fishing vessels,Fuel oil,1970,1.49662966628817e-06,Emissions
Methane,Energy,Fishing vessels,Gas oil,1970,1.02585068792878e-06,Emissions
Nitrous Oxide,Energy,Fishing vessels,Fuel oil,1970,3.79191503199599e-06,Emissions
Nitrous Oxide,Energy,Fishing vessels,Gas oil,1970,3.40405708467485e-06,Emissions
Methane,Energy,Gas leakage,Natural gas supply,1970,0.014522998,Emissions
Carbon Dioxide as Carbon,Energy,Gas production,Town gas,1970,0.0168394846422636,Emissions
Carbon Dioxide as Carbon,Energy,Blast furnaces,Blast furnace gas,1970,0.0571180709618659,Emissions
Carbon Dioxide as Carbon,Energy,Blast furnaces,Coke oven gas,1970,0.0121467545308892,Emissions
Carbon Dioxide as Carbon,Energy,Blast furnaces,LPG,1970,0.0174291786399796,Emissions
Carbon Dioxide as Carbon,Energy,Blast furnaces,Natural gas,1970,0.0152178243350455,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Sinter production,Coke,1970,0.0276888395712285,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Sinter production,Limestone,1970,119.654427451596,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Sinter production,Dolomite,1970,128.5,Emissions
Methane,Industrial Processes and Other Product Use,Sinter production,Coke,1970,5.909796045004e-05,Emissions
Carbon Dioxide as Carbon,Waste,Incineration,MSW,1970,0.0118167706494193,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - combustion plant,Blast furnace gas,1970,0.0571180709618659,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - combustion plant,Coal,1970,0.025643939,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - combustion plant,Coke,1970,0.0276888395712285,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - combustion plant,Coke oven gas,1970,0.0121467545308892,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - combustion plant,Fuel oil,1970,0.0213504728132388,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - combustion plant,Gas oil,1970,0.020362733152123,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - combustion plant,LPG,1970,0.0174291786399796,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - combustion plant,Natural gas,1970,0.0152178243350455,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - combustion plant,Town gas,1970,0.0168394846422636,Emissions
Carbon Dioxide as Carbon,Energy,Lime production - non decarbonising,Coke,1970,0.0276888395712285,Emissions
Carbon Dioxide as Carbon,Energy,Miscellaneous industrial/commercial combustion,Coal,1970,0.025643939,Emissions
Carbon Dioxide as Carbon,Energy,Miscellaneous industrial/commercial combustion,Coke,1970,0.0276888395712285,Emissions
Carbon Dioxide as Carbon,Energy,Miscellaneous industrial/commercial combustion,Fuel oil,1970,0.0213504728132388,Emissions
Carbon Dioxide as Carbon,Energy,Miscellaneous industrial/commercial combustion,Gas oil,1970,0.020362733152123,Emissions
Carbon Dioxide as Carbon,Energy,Miscellaneous industrial/commercial combustion,Natural gas,1970,0.0152178243350455,Emissions
Carbon Dioxide as Carbon,Energy,Miscellaneous industrial/commercial combustion,SSF,1970,0.0275393743333031,Emissions
Carbon Dioxide as Carbon,Energy,Miscellaneous industrial/commercial combustion,Town gas,1970,0.0168394846422636,Emissions
Carbon Dioxide as Carbon,Energy,Upstream Oil Production - fuel combustion,Gas oil,1970,0.020362733152123,Emissions
Methane,Energy,Upstream Oil Production - fuel combustion,Gas oil,1970,2.28126126383468e-06,Emissions
Nitrous Oxide,Energy,Upstream Oil Production - fuel combustion,Gas oil,1970,8.45875297975815e-06,Emissions
Methane,Energy,Open-cast coal,Coal produced,1970,0.33975,Emissions
Carbon Dioxide as Carbon,Energy,Other industrial combustion,Burning oil,1970,0.0195716564137617,Emissions
Carbon Dioxide as Carbon,Energy,Other industrial combustion,Coal,1970,0.025643939,Emissions
Carbon Dioxide as Carbon,Energy,Other industrial combustion,Coke oven gas,1970,0.0121467545308892,Emissions
Carbon Dioxide as Carbon,Energy,Other industrial combustion,Fuel oil,1970,0.0213504728132388,Emissions
Carbon Dioxide as Carbon,Energy,Other industrial combustion,Gas oil,1970,0.020362733152123,Emissions
Carbon Dioxide as Carbon,Energy,Other industrial combustion,LPG,1970,0.0174291786399796,Emissions
Carbon Dioxide as Carbon,Energy,Other industrial combustion,Natural gas,1970,0.0152178243350455,Emissions
Carbon Dioxide as Carbon,Energy,Other industrial combustion,SSF,1970,0.0275393743333031,Emissions
Carbon Dioxide as Carbon,Energy,Other industrial combustion,Town gas,1970,0.0168394846422636,Emissions
Carbon Dioxide as Carbon,Energy,Power stations,Coal,1970,0.0248702417672181,Emissions
Carbon Dioxide as Carbon,Energy,Power stations,Coke,1970,0.0276888395712285,Emissions
Carbon Dioxide as Carbon,Energy,Power stations,Natural gas,1970,0.0152178243350455,Emissions
Carbon Dioxide as Carbon,Energy,Public sector combustion,Burning oil,1970,0.0195716564137617,Emissions
Carbon Dioxide as Carbon,Energy,Public sector combustion,Coal,1970,0.025643939,Emissions
Carbon Dioxide as Carbon,Energy,Public sector combustion,Coke,1970,0.0276888395712285,Emissions
Carbon Dioxide as Carbon,Energy,Public sector combustion,Fuel oil,1970,0.0213504728132388,Emissions
Carbon Dioxide as Carbon,Energy,Public sector combustion,Gas oil,1970,0.020362733152123,Emissions
Carbon Dioxide as Carbon,Energy,Public sector combustion,Natural gas,1970,0.0152178243350455,Emissions
Carbon Dioxide as Carbon,Energy,Public sector combustion,Town gas,1970,0.0168394846422636,Emissions
Carbon Dioxide as Carbon,Energy,Railways - stationary combustion,Burning oil,1970,0.0195716564137617,Emissions
Carbon Dioxide as Carbon,Energy,Railways - stationary combustion,Coal,1970,0.025643939,Emissions
Carbon Dioxide as Carbon,Energy,Railways - stationary combustion,Coke,1970,0.0276888395712285,Emissions
Carbon Dioxide as Carbon,Energy,Railways - stationary combustion,Fuel oil,1970,0.0213504728132388,Emissions
Carbon Dioxide as Carbon,Energy,Refineries - combustion,Fuel oil,1970,0.0213504728132388,Emissions
Carbon Dioxide as Carbon,Energy,Refineries - combustion,Gas oil,1970,0.020362733152123,Emissions
Carbon Dioxide as Carbon,Energy,Refineries - combustion,LPG,1970,0.0174291786399796,Emissions
Carbon Dioxide as Carbon,Energy,Refineries - combustion,Refinery miscellaneous,1970,0.0194931773879142,Emissions
Carbon Dioxide as Carbon,Energy,Refineries - combustion,Naphtha,1970,0.0187671684430282,Emissions
Carbon Dioxide as Carbon,Energy,Refineries - combustion,OPG,1970,0.015402941926822,Emissions
Carbon Dioxide as Carbon,Energy,Refineries - combustion,Petrol,1970,0.0191489361702128,Emissions
Methane,Waste,Sewage sludge decomposition,Non-fuel domestic,1970,0.851221692058486,Emissions
Nitrous Oxide,Waste,Sewage sludge decomposition,Non-fuel domestic,1970,0.0494592379064413,Emissions
Carbon Dioxide as Carbon,Energy,Solid smokeless fuel production,Coal,1970,0.0085948537616054,Emissions
Carbon Dioxide as Carbon,Energy,Town gas manufacture,Burning oil,1970,0.0065256242044655,Emissions
Carbon Dioxide as Carbon,Energy,Town gas manufacture,Coal,1970,0.0079868334211992,Emissions
Carbon Dioxide as Carbon,Energy,Town gas manufacture,Coke,1970,0.0092320730488872,Emissions
Carbon Dioxide as Carbon,Energy,Town gas manufacture,Coke oven gas,1970,0.0040502276183254,Emissions
Carbon Dioxide as Carbon,Energy,Town gas manufacture,LPG,1970,0.0057953269217208,Emissions
Carbon Dioxide as Carbon,Energy,Town gas manufacture,Natural gas,1970,0.0050742486197351,Emissions
Methane,Energy,Town gas manufacture,Burning oil,1970,1.00006129954804e-06,Emissions
Methane,Energy,Town gas manufacture,Coal,1970,2.96975214534734e-06,Emissions
Methane,Energy,Town gas manufacture,Coke,1970,3.33422172682178e-06,Emissions
Methane,Energy,Town gas manufacture,Coke oven gas,1970,3.33422172682178e-07,Emissions
Methane,Energy,Town gas manufacture,LPG,1970,3.33422172682178e-07,Emissions
Methane,Energy,Town gas manufacture,Natural gas,1970,3.33422172682178e-07,Emissions
Carbon Dioxide as Carbon,Energy,Agriculture - mobile machinery,Gas oil,1970,0.020362733152123,Emissions
Carbon Dioxide as Carbon,Energy,Agriculture - mobile machinery,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Agriculture - mobile machinery,Gas oil,1970,3.81420997086e-06,Emissions
Methane,Energy,Agriculture - mobile machinery,Petrol,1970,4.87090545812858e-05,Emissions
Nitrous Oxide,Energy,Agriculture - mobile machinery,Gas oil,1970,3.08885605745433e-06,Emissions
Nitrous Oxide,Energy,Agriculture - mobile machinery,Petrol,1970,3.36156346316672e-07,Emissions
Carbon Dioxide as Carbon,Energy,Aircraft -  military,Aviation turbine fuel,1970,0.0195716564137617,Emissions
Methane,Energy,Aircraft -  military,Aviation turbine fuel,1970,2.35087719298246e-06,Emissions
Nitrous Oxide,Energy,Aircraft -  military,Aviation turbine fuel,1970,2.27842333105491e-06,Emissions
Carbon Dioxide as Carbon,Energy,Aircraft - support vehicles,Gas oil,1970,0.020362733152123,Emissions
Methane,Energy,Aircraft - support vehicles,Gas oil,1970,3.91739427651312e-06,Emissions
Nitrous Oxide,Energy,Aircraft - support vehicles,Gas oil,1970,3.10569073535639e-06,Emissions
Carbon Dioxide as Carbon,Energy,House and garden machinery,DERV,1970,0.020046403712297,Emissions
Carbon Dioxide as Carbon,Energy,House and garden machinery,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,House and garden machinery,DERV,1970,3.67544164190298e-06,Emissions
Methane,Energy,House and garden machinery,Petrol,1970,7.10932863486521e-05,Emissions
Nitrous Oxide,Energy,House and garden machinery,DERV,1970,3.03076561216851e-06,Emissions
Nitrous Oxide,Energy,House and garden machinery,Petrol,1970,6.92499969262138e-07,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Glass - general,Limestone,1970,120.0,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Glass - general,Dolomite,1970,130.2,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Glass - general,Soda ash,1970,113.0,Emissions
Carbon Dioxide as Carbon,Energy,Industrial off-road mobile machinery,DERV,1970,0.020046403712297,Emissions
Carbon Dioxide as Carbon,Energy,Industrial off-road mobile machinery,Gas oil,1970,0.020362733152123,Emissions
Carbon Dioxide as Carbon,Energy,Industrial off-road mobile machinery,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Industrial off-road mobile machinery,DERV,1970,3.76384256888947e-06,Emissions
Methane,Energy,Industrial off-road mobile machinery,Gas oil,1970,3.80123757426038e-06,Emissions
Methane,Energy,Industrial off-road mobile machinery,Petrol,1970,8.41532944766087e-05,Emissions
Nitrous Oxide,Energy,Industrial off-road mobile machinery,DERV,1970,3.14224799763518e-06,Emissions
Nitrous Oxide,Energy,Industrial off-road mobile machinery,Gas oil,1970,3.1734672578985e-06,Emissions
Nitrous Oxide,Energy,Industrial off-road mobile machinery,Petrol,1970,1.15280410212524e-06,Emissions
Carbon Dioxide as Carbon,Energy,Shipping - naval,Gas oil,1970,0.0204883306776643,Emissions
Methane,Energy,Shipping - naval,Gas oil,1970,7.95951482035505e-07,Emissions
Nitrous Oxide,Energy,Shipping - naval,Gas oil,1970,3.46873435836918e-06,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Bread baking,Sodium Bicarbonate,1970,0.226415094339623,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Primary aluminium production - general,Primary aluminium production,1970,580.0,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Electric arc furnaces,Steel production (electric arc),1970,5.1,Emissions
Carbon Dioxide as Carbon,Energy,Iron and steel - flaring,Coke oven gas,1970,0.0121467545308892,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Iron and steel - flaring,Blast furnace gas,1970,0.0571180709618659,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Basic oxygen furnaces,Dolomite,1970,128.5,Emissions
Carbon Dioxide as Carbon,Memo,Shipping - international IPCC definition,Fuel oil,1970,0.0209138593380615,Emissions
Carbon Dioxide as Carbon,Memo,Shipping - international IPCC definition,Gas oil,1970,0.0204883306776643,Emissions
Methane,Memo,Shipping - international IPCC definition,Fuel oil,1970,1.38712215298264e-06,Emissions
Methane,Memo,Shipping - international IPCC definition,Gas oil,1970,7.95951482035505e-07,Emissions
Nitrous Oxide,Memo,Shipping - international IPCC definition,Fuel oil,1970,3.6850115157273e-06,Emissions
Nitrous Oxide,Memo,Shipping - international IPCC definition,Gas oil,1970,3.46873435836918e-06,Emissions
Methane,Energy,Coal storage and transport,Deep mined coal production,1970,1.15515,Emissions
Carbon Dioxide as Carbon,Energy,Railways - intercity,Gas oil,1970,0.020362733152123,Emissions
Methane,Energy,Railways - intercity,Gas oil,1970,1.28777259071004e-05,Emissions
Nitrous Oxide,Energy,Railways - intercity,Gas oil,1970,2.83141187865154e-06,Emissions
Carbon Dioxide as Carbon,Energy,Railways - regional,Gas oil,1970,0.020362733152123,Emissions
Methane,Energy,Railways - regional,Gas oil,1970,7.69798401760933e-07,Emissions
Nitrous Oxide,Energy,Railways - regional,Gas oil,1970,2.83141187865154e-06,Emissions
Carbon Dioxide as Carbon,Energy,Railways - freight,Gas oil,1970,0.020362733152123,Emissions
Methane,Energy,Railways - freight,Gas oil,1970,7.50863643601733e-06,Emissions
Nitrous Oxide,Energy,Railways - freight,Gas oil,1970,2.83141187865154e-06,Emissions
Carbon Dioxide as Carbon,Energy,Aircraft - domestic take off and landing,Aviation spirit,1970,0.018982975408924,Emissions
Carbon Dioxide as Carbon,Energy,Aircraft - domestic take off and landing,Aviation turbine fuel,1970,0.0195716564137617,Emissions
Methane,Energy,Aircraft - domestic take off and landing,Aviation spirit,1970,5.75195097662611e-05,Emissions
Methane,Energy,Aircraft - domestic take off and landing,Aviation turbine fuel,1970,3.0900358656108e-05,Emissions
Nitrous Oxide,Energy,Aircraft - domestic take off and landing,Aviation spirit,1970,2.22543674196061e-06,Emissions
Nitrous Oxide,Energy,Aircraft - domestic take off and landing,Aviation turbine fuel,1970,2.27842333105491e-06,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Non-aerosol products - household products,Petroleum waxes,1970,160.36,Emissions
Carbon Dioxide as Carbon,Waste,Incineration - clinical waste,Clinical waste,1970,240.0,Emissions
Carbon Dioxide as Carbon,Waste,Incineration - chemical waste,Chemical waste,1970,346.392733347201,Emissions
Methane,Waste,Incineration - chemical waste,Chemical waste,1970,0.394578373590771,Emissions
Methane,Energy,Petroleum processes,Oil production,1970,27.9857727113381,Emissions
Methane,Industrial Processes and Other Product Use,Brick manufacture - Fletton,Fletton bricks,1970,0.0006789402210522,Emissions
Carbon Dioxide as Carbon,Energy,Upstream Oil Production - Offshore Well Testing,Exploration drilling :amount of gas flared,1970,2.688040909,Emissions
Methane,Energy,Upstream Oil Production - Offshore Well Testing,Exploration drilling :amount of gas flared,1970,0.1171,Emissions
Nitrous Oxide,Energy,Upstream Oil Production - Offshore Well Testing,Exploration drilling :amount of gas flared,1970,0.000356202,Emissions
Methane,Waste,Accidental fires - vehicles,Mass burnt,1970,0.005,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Chemical industry - carbon black,Carbon black capacity,1970,0.772257053291536,Emissions
Methane,Industrial Processes and Other Product Use,Chemical industry - carbon black,Carbon black capacity,1970,6e-05,Emissions
Methane,Industrial Processes and Other Product Use,Chemical industry - ethylene,Ethylene,1970,0.555455931454846,Emissions
Methane,Industrial Processes and Other Product Use,Chemical industry - methanol,Methanol,1970,0.06,Emissions
Methane,Waste,Accidental fires - dwellings,Mass burnt,1970,0.0065,Emissions
Methane,Waste,Accidental fires - other buildings,Mass burnt,1970,0.0065,Emissions
Methane,Memo,Accidental fires - vegetation,Area burnt,1970,9.42857142857143e-05,Emissions
Methane,Memo,Accidental fires - forests,Area burnt,1970,0.0003571428571428,Emissions
Methane,Memo,Accidental fires - straw,Mass burnt,1970,0.0027,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Agricultural engines,Lubricants,1970,0.0042594631924695,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Industrial engines,Lubricants,1970,0.0042594631924695,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Marine engines,Lubricants,1970,0.0042594631924695,Emissions
Carbon Dioxide as Carbon,Memo,Aircraft engines,Lubricants,1970,0.0042594631924695,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Ladle arc furnaces,Steel production (electric arc),1970,0.65,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Ladle arc furnaces,Steel production (oxygen converters),1970,0.14,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Other emissive applications of Soda Ash,Soda ash,1970,0.113207547169811,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Unknown applications of Sodium Bicarbonate,Sodium Bicarbonate,1970,0.169811320754717,Emissions
Carbon Dioxide as Carbon,Industrial Processes and Other Product Use,Other emissive applications of  Sodium Bicarbonate,Sodium Bicarbonate,1970,0.113207547169811,Emissions
Carbon Dioxide as Carbon,Energy,Aircraft - domestic cruise,Aviation turbine fuel,1970,0.0195716564137617,Emissions
Nitrous Oxide,Energy,Aircraft - domestic cruise,Aviation turbine fuel,1970,2.27842333105491e-06,Emissions
Carbon Dioxide as Carbon,Memo,Aircraft - international cruise,Aviation turbine fuel,1970,0.0195716564137617,Emissions
Nitrous Oxide,Memo,Aircraft - international cruise,Aviation turbine fuel,1970,2.27842333105491e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - cars - rural driving,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Road transport - cars - rural driving,Petrol,1970,2.78782709179341e-05,Emissions
Nitrous Oxide,Energy,Road transport - cars - rural driving,Petrol,1970,2.10707861589036e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - cars - rural driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - cars - rural driving,DERV,1970,6.83451373042083e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - LGVs - rural driving,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Road transport - LGVs - rural driving,Petrol,1970,2.24831357760143e-05,Emissions
Nitrous Oxide,Energy,Road transport - LGVs - rural driving,Petrol,1970,1.69930677376852e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - LGVs - rural driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - LGVs - rural driving,DERV,1970,4.16551283025942e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - buses and coaches - rural driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - buses and coaches - rural driving,DERV,1970,9.61706622682953e-06,Emissions
Nitrous Oxide,Energy,Road transport - buses and coaches - rural driving,DERV,1970,3.60639983506108e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - HGV articulated - rural driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - HGV articulated - rural driving,DERV,1970,8.80887983163136e-06,Emissions
Nitrous Oxide,Energy,Road transport - HGV articulated - rural driving,DERV,1970,3.30332993686176e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - HGV rigid - rural driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - HGV rigid - rural driving,DERV,1970,7.1160393471248e-06,Emissions
Nitrous Oxide,Energy,Road transport - HGV rigid - rural driving,DERV,1970,4.83019963563368e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - motorcycle (>50cc  4st) - rural driving,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Road transport - motorcycle (>50cc  4st) - rural driving,Petrol,1970,8.92124577182171e-05,Emissions
Nitrous Oxide,Energy,Road transport - motorcycle (>50cc  4st) - rural driving,Petrol,1970,8.92124577472918e-07,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - cars - urban driving,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Road transport - cars - urban driving,Petrol,1970,4.01659430595045e-05,Emissions
Nitrous Oxide,Energy,Road transport - cars - urban driving,Petrol,1970,1.75277642533145e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - cars - urban driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - cars - urban driving,DERV,1970,1.03939512326156e-05,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - LGVs - urban driving,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Road transport - LGVs - urban driving,Petrol,1970,2.78714296846354e-05,Emissions
Nitrous Oxide,Energy,Road transport - LGVs - urban driving,Petrol,1970,1.21626385864111e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - LGVs - urban driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - LGVs - urban driving,DERV,1970,8.46869581372552e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - buses and coaches - urban driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - buses and coaches - urban driving,DERV,1970,1.30467160051576e-05,Emissions
Nitrous Oxide,Energy,Road transport - buses and coaches - urban driving,DERV,1970,2.23657988659844e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - HGV articulated - urban driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - HGV articulated - urban driving,DERV,1970,1.34603442168302e-05,Emissions
Nitrous Oxide,Energy,Road transport - HGV articulated - urban driving,DERV,1970,2.30748758002803e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - HGV rigid - urban driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - HGV rigid - urban driving,DERV,1970,1.4735247912257e-05,Emissions
Nitrous Oxide,Energy,Road transport - HGV rigid - urban driving,DERV,1970,3.73141159691045e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - mopeds (<50cc 2st) - urban driving,Petrol,1970,0.0191489361702128,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - mopeds (<50cc 2st) - urban driving,Lubricants,1970,0.0212973159623477,Emissions
Methane,Energy,Road transport - mopeds (<50cc 2st) - urban driving,Petrol,1970,0.0001431811987779,Emissions
Nitrous Oxide,Energy,Road transport - mopeds (<50cc 2st) - urban driving,Petrol,1970,6.53795428021911e-07,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - motorcycle (>50cc  2st) - urban driving,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Road transport - motorcycle (>50cc  2st) - urban driving,Petrol,1970,7.93177244412219e-05,Emissions
Nitrous Oxide,Energy,Road transport - motorcycle (>50cc  2st) - urban driving,Petrol,1970,1.05756965891197e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - motorcycle (>50cc  4st) - urban driving,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Road transport - motorcycle (>50cc  4st) - urban driving,Petrol,1970,8.70127549140646e-05,Emissions
Nitrous Oxide,Energy,Road transport - motorcycle (>50cc  4st) - urban driving,Petrol,1970,8.70127548890263e-07,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - cars - motorway driving,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Road transport - cars - motorway driving,Petrol,1970,1.21966973049744e-05,Emissions
Nitrous Oxide,Energy,Road transport - cars - motorway driving,Petrol,1970,1.93362274347154e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - cars - motorway driving,DERV,1970,0.020046403712297,Emissions
Methane,Energy,Road transport - cars - motorway driving,DERV,1970,3.81409744488847e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - LGVs - motorway driving,Petrol,1970,0.0191489361702128,Emissions
Methane,Energy,Road transport - LGVs - motorway driving,Petrol,1970,9.89611360181607e-06,Emissions
Nitrous Oxide,Energy,Road transport - LGVs - motorway driving,Petrol,1970,1.5688960588245e-06,Emissions
Carbon Dioxide as Carbon,Energy,Road transport - LGVs - motorway driving,DERV,1970,0.020046403712297,Emissions
